Dataset 	 Classifier 	 Accuracy 	 Precision 	 Recall 	 F-score
Complete Dataset	SMS-A Naive Bayes	0.512108683	0.397636812	0.512108683	0.442740433
SMS-A	SMS-A Naive Bayes	0.643776824	0.604206314	0.643776824	0.614007103
SMS-B	SMS-A Naive Bayes	0.299043062	0.135845222	0.299043062	0.180476205
Twitter-A	SMS-A Naive Bayes	0.22556391	0.088680606	0.22556391	0.124310777
Twitter-B	SMS-A Naive Bayes	0.355263158	0.220357356	0.355263158	0.260927743
Product-Review-A	SMS-A Naive Bayes	0.721393035	0.726154094	0.721393035	0.720218658
Product-Review-B	SMS-A Naive Bayes	0.631840796	0.634968474	0.631840796	0.632842943
Movie Review	SMS-A Naive Bayes	0.577114428	0.579519283	0.577114428	0.578190362
Complete Dataset	SMS-A SVM	0.522740697	0.398757866	0.522740697	0.451728133
SMS-A	SMS-A SVM	0.697424893	0.641661422	0.697424893	0.66796157
SMS-B	SMS-A SVM	0.311004785	0.132041468	0.311004785	0.183332713
Twitter-A	SMS-A SVM	0.187969925	0.074650913	0.187969925	0.103354626
Twitter-B	SMS-A SVM	0.342105263	0.202302632	0.342105263	0.248120301
Product-Review-A	SMS-A SVM	0.71641791	0.716812365	0.71641791	0.716169472
Product-Review-B	SMS-A SVM	0.63681592	0.63934323	0.63681592	0.637686338
Movie Review	SMS-A SVM	0.547263682	0.560506944	0.547263682	0.550868726
Complete Dataset	SMS-B Naive Bayes	0.350856468	0.702948495	0.350856468	0.273586514
SMS-A	SMS-B Naive Bayes	0.255364807	0.903629251	0.255364807	0.270080297
SMS-B	SMS-B Naive Bayes	0.686602871	0.6046848	0.686602871	0.599067404
Twitter-A	SMS-B Naive Bayes	0.631578947	0.503593985	0.631578947	0.53206976
Twitter-B	SMS-B Naive Bayes	0.486842105	0.563626532	0.486842105	0.355361535
Product-Review-A	SMS-B Naive Bayes	0.179104478	0.911308043	0.179104478	0.267488705
Product-Review-B	SMS-B Naive Bayes	0.119402985	0.366199306	0.119402985	0.174426205
Movie Review	SMS-B Naive Bayes	0.049751244	0.153013183	0.049751244	0.06933216
Complete Dataset	SMS-B SVM	0.442409923	0.60950996	0.442409923	0.412057386
SMS-A	SMS-B SVM	0.439914163	0.736347081	0.439914163	0.486052556
SMS-B	SMS-B SVM	0.753588517	0.742371779	0.753588517	0.727894884
Twitter-A	SMS-B SVM	0.541353383	0.499689623	0.541353383	0.517429703
Twitter-B	SMS-B SVM	0.539473684	0.607497911	0.539473684	0.473454464
Product-Review-A	SMS-B SVM	0.268656716	0.882435206	0.268656716	0.358150525
Product-Review-B	SMS-B SVM	0.2039801	0.691420149	0.2039801	0.275968703
Movie Review	SMS-B SVM	0.119402985	0.595388442	0.119402985	0.157650542
Complete Dataset	Twitter-A Naive Bayes	0.242173656	0.05864808	0.242173656	0.094428149
SMS-A	Twitter-A Naive Bayes	0.081545064	0.006649598	0.081545064	0.012296478
SMS-B	Twitter-A Naive Bayes	0.602870813	0.363453218	0.602870813	0.453502821
Twitter-A	Twitter-A Naive Bayes	0.646616541	0.418112952	0.646616541	0.507844955
Twitter-B	Twitter-A Naive Bayes	0.447368421	0.200138504	0.447368421	0.276555024
Product-Review-A	Twitter-A Naive Bayes	0.004975124	2.48E-05	0.004975124	4.93E-05
Product-Review-B	Twitter-A Naive Bayes	0.004975124	2.48E-05	0.004975124	4.93E-05
Movie Review	Twitter-A Naive Bayes	0.004975124	2.48E-05	0.004975124	4.93E-05
Complete Dataset	Twitter-A SVM	0.242173656	0.05864808	0.242173656	0.094428149
SMS-A	Twitter-A SVM	0.081545064	0.006649598	0.081545064	0.012296478
SMS-B	Twitter-A SVM	0.602870813	0.363453218	0.602870813	0.453502821
Twitter-A	Twitter-A SVM	0.646616541	0.418112952	0.646616541	0.507844955
Twitter-B	Twitter-A SVM	0.447368421	0.200138504	0.447368421	0.276555024
Product-Review-A	Twitter-A SVM	0.004975124	2.48E-05	0.004975124	4.93E-05
Product-Review-B	Twitter-A SVM	0.004975124	2.48E-05	0.004975124	4.93E-05
Movie Review	Twitter-A SVM	0.004975124	2.48E-05	0.004975124	4.93E-05
Complete Dataset	Twitter-B Naive Bayes	0.272888364	0.339794101	0.272888364	0.164577064
SMS-A	Twitter-B Naive Bayes	0.14806867	0.468647401	0.14806867	0.129415495
SMS-B	Twitter-B Naive Bayes	0.61722488	0.509191639	0.61722488	0.503124781
Twitter-A	Twitter-B Naive Bayes	0.62406015	0.492359932	0.62406015	0.527362362
Twitter-B	Twitter-B Naive Bayes	0.447368421	0.353247249	0.447368421	0.331983228
Product-Review-A	Twitter-B Naive Bayes	0.034825871	0.43072927	0.034825871	0.055882978
Product-Review-B	Twitter-B Naive Bayes	0.049751244	0.455928492	0.049751244	0.081595598
Movie Review	Twitter-B Naive Bayes	0.019900498	0.136012645	0.019900498	0.02695003
Complete Dataset	Twitter-B SVM	0.303603071	0.4767004	0.303603071	0.22604378
SMS-A	Twitter-B SVM	0.199570815	0.745848515	0.199570815	0.206302435
SMS-B	Twitter-B SVM	0.626794258	0.599734796	0.626794258	0.538425315
Twitter-A	Twitter-B SVM	0.556390977	0.461608567	0.556390977	0.499462943
Twitter-B	Twitter-B SVM	0.407894737	0.295720362	0.407894737	0.314368735
Product-Review-A	Twitter-B SVM	0.089552239	0.642997314	0.089552239	0.144805141
Product-Review-B	Twitter-B SVM	0.124378109	0.58789471	0.124378109	0.191466854
Movie Review	Twitter-B SVM	0.069651741	0.468401518	0.069651741	0.09885176
Complete Dataset	Product-Review-A Naive Bayes	0.490253987	0.371438561	0.490253987	0.419271197
SMS-A	Product-Review-A Naive Bayes	0.532188841	0.489757553	0.532188841	0.503249002
SMS-B	Product-Review-A Naive Bayes	0.236842105	0.092919259	0.236842105	0.133060581
Twitter-A	Product-Review-A Naive Bayes	0.233082707	0.087973327	0.233082707	0.126359952
Twitter-B	Product-Review-A Naive Bayes	0.315789474	0.192434211	0.315789474	0.233766234
Product-Review-A	Product-Review-A Naive Bayes	0.776119403	0.793861025	0.776119403	0.772271286
Product-Review-B	Product-Review-A Naive Bayes	0.711442786	0.713039083	0.711442786	0.704771644
Movie Review	Product-Review-A Naive Bayes	0.656716418	0.698442193	0.656716418	0.657016799
Complete Dataset	Product-Review-A SVM	0.487891317	0.389447735	0.487891317	0.421724872
SMS-A	Product-Review-A SVM	0.52360515	0.491643407	0.52360515	0.498071768
SMS-B	Product-Review-A SVM	0.224880383	0.102293665	0.224880383	0.133060363
Twitter-A	Product-Review-A SVM	0.187969925	0.09621617	0.187969925	0.10815314
Twitter-B	Product-Review-A SVM	0.302631579	0.252466285	0.302631579	0.230828915
Product-Review-A	Product-Review-A SVM	0.825870647	0.825885578	0.825870647	0.825857584
Product-Review-B	Product-Review-A SVM	0.68159204	0.701363313	0.68159204	0.68159204
Movie Review	Product-Review-A SVM	0.696517413	0.692607522	0.696517413	0.687940285
Complete Dataset	Product-Review-B Naive Bayes	0.476668636	0.360168468	0.476668636	0.405092719
SMS-A	Product-Review-B Naive Bayes	0.540772532	0.492623329	0.540772532	0.512796406
SMS-B	Product-Review-B Naive Bayes	0.244019139	0.095954746	0.244019139	0.137348166
Twitter-A	Product-Review-B Naive Bayes	0.187969925	0.068758102	0.187969925	0.100307913
Twitter-B	Product-Review-B Naive Bayes	0.381578947	0.21242808	0.381578947	0.272775766
Product-Review-A	Product-Review-B Naive Bayes	0.691542289	0.722356492	0.691542289	0.679332504
Product-Review-B	Product-Review-B Naive Bayes	0.721393035	0.756081254	0.721393035	0.699726036
Movie Review	Product-Review-B Naive Bayes	0.587064677	0.634252978	0.587064677	0.58494706
Complete Dataset	Product-Review-B SVM	0.501476669	0.385060552	0.501476669	0.433908251
SMS-A	Product-Review-B SVM	0.560085837	0.520610949	0.560085837	0.537292838
SMS-B	Product-Review-B SVM	0.251196172	0.107669808	0.251196172	0.14758717
Twitter-A	Product-Review-B SVM	0.180451128	0.071489067	0.180451128	0.099557193
Twitter-B	Product-Review-B SVM	0.368421053	0.23350395	0.368421053	0.276179673
Product-Review-A	Product-Review-B SVM	0.76119403	0.76119403	0.76119403	0.76119403
Product-Review-B	Product-Review-B SVM	0.756218905	0.756736318	0.756218905	0.753183553
Movie Review	Product-Review-B SVM	0.641791045	0.640505804	0.641791045	0.641084958
Complete Dataset	Movie-Review Naive Bayes	0.48021264	0.370349162	0.48021264	0.415058521
SMS-A	Movie-Review Naive Bayes	0.521459227	0.485691906	0.521459227	0.499465481
SMS-B	Movie-Review Naive Bayes	0.232057416	0.098189541	0.232057416	0.135530577
